,date,hour,tweet,linea,estacion
49,07/Nov/2019,21:28:44,"NO le jueguen al #Tururú...

Un toque en la casa es de 110 voltios.
En el trabajo alcanza los 220.
Con cualquier de los dos, sientes morir.

En el @MetroCDMX, el “llegue” es de 750 voltios. ¡Te mata de una!

Detalles a las 2 en @HMeridiano @AztecaNoticias @AztecaUno https://t.co/EAwoSYM9Ir",2 ,
50,07/Nov/2019,21:29:04,@MetroCDMX Los vagoneros son los chulos del metro y ratas que Te bolsean..los polis luego nomas están de adorno. Los conductores  se deben dar cuenta de todo.,,
51,07/Nov/2019,21:31:55,"@MetroCDMX al parecer se le tiene que poner letrero a cada uno de los lugares reservados, o no dejar que los tapen con anuncios para que la gente respete! #aguas #quejaciudadana",,
52,07/Nov/2019,21:32:03,"Las 12 líneas del @MetroCDMX son vigiladas por 3 mil 761 policías de la #CDMX 

https://t.co/xphCmAg1p1",3 12 ,
53,07/Nov/2019,21:32:18,@MetroCDMX Pues la línea A tarda más de lo que dicen 🙄,,
54,07/Nov/2019,21:32:35,@alertasurbanas El de Xola y Cuauhtemoc en la glorieta del metro @MetroCDMX Etiopía. Rosita Mancera y @Claudiashein serían responsables en caso de colapso. Hay una terminal del @MetrobusCDMX justo a un lado.,linea1 ,Cuauhtemoc Xola terminal 
55,07/Nov/2019,21:32:38,"@kevorgia @alertasurbanas @MetroCDMX @Claudiashein @MetrobusCDMX Ese edificio no tiene daño estructural severo. Se dañaron acabados, fachada, muros divisorios. En todo caso, puedes comprarlo y tirarlo si lo deseas. Está en venta",,
56,07/Nov/2019,21:33:09,@hecid @alertasurbanas @MetroCDMX @Claudiashein @MetrobusCDMX Me imagino que el precio es módico de acuerdo a la ruina en que está. Esa zona fue muy golpeada durante el sismo del 2K17. De hecho los vecinos de @ColoniaNarvarte viven intranquilos. Si esta tan bien porqué no se restaura?! Si yo fuera @CNPC_MX lo demolería. @Claudiashein,,
57,07/Nov/2019,21:33:34,@MetroCDMX 👏🏻,,
58,07/Nov/2019,21:33:37,"🚇#AvisoMetro🚇

Dice la rima: ""Vaya vaya, #Tacubaya, si no conoce mejor ni vaya""; por enésima vez, las escaleras de esta importante #correspondencia de #MetroCDMX, no están 😡😡en uso! este #7nov2019  
#Línea1 #L1

Hagamos HT #NomásfallasMetroCDMX
#LadeHoyDelMetro
#MovilidadCDMX https://t.co/DE55MTsa6T https://t.co/L3dv3RPJGO",Línea1 L1 ,Tacubaya Tacubaya Tacubaya 
59,07/Nov/2019,21:34:13,"@jckillerbear @marialucke @MetroCDMX @Claudiashein Al contrario, es bueno denunciar. No  entiendo a @MetroCDMX  porque quiere que se haga por correo aparte del Twitter. Y no es me no me guste a mi. Si no denunciamos, no hay cambio.",,
60,07/Nov/2019,21:34:28,"Esas taquilleras del @MetroCDMX de pantitlan en #Linea9 te mandan a la chingada a diestra y siniestra, solo por que están detrás de un vidrio se sienten intocables @Claudiashein un ojito a tus empleados",linea1 Linea9 ,pantitlan pantitlan pantitlan pantitlan 
61,07/Nov/2019,21:34:49,"El Sistema de Transporte Colectivo #STC implementó una estrategia para inhibir y disminuir la incidencia delictiva en el @MetroCDMX , con lo cual se ha logrado reducir en 54.77% los casos de robo a pasajero en esta Red de movilidad. 

https://t.co/UI7gyg6L5b",,
62,07/Nov/2019,21:34:52,"1/7 Anoche en el último metro del día tuvimos que enfrentar la prepotencia de los trabajadores del @MetroCDMX  invadiendo los espacios exclusivos. Antes de que llegara el metro, le informé al único guardia de la estación que el área exclusiva para mujeres estaba llena de hombres. https://t.co/sYkywQKSYO",,
63,07/Nov/2019,21:35:04,@MetroCDMX Se sube un hombre mayor al vagon exclusivo de la línea 2. Le pido que se baje y me dice que el ya sabe que no debe estar ahí pero que si PUEDE. Busque oficiales en todas las estaciones y hubo uno hasta San Antonio Abad otro hombre con chaleco naranja.,linea2 naranja ,Antonio Abad 
64,07/Nov/2019,21:35:08,"Solicite su apoyo y se negó, dejo ir el metro diciéndome que era ""nuestra culpa"" porque las mujeres defienden a los hombres mayores. Aclaro que yo estaba solicitando apoyo para que lo bajarán y que ninguna mujer se oponía ¿Que se hace en estos casos @MetroCDMX ?",,
65,07/Nov/2019,21:35:09,"🚇#AvisoMetro🚇

Dice la rima: ""Vaya vaya, #Tacubaya, si no conoce mejor ni vaya""; por enésima vez, las escaleras de esta importante #correspondencia de #MetroCDMX, no están 😡😡en uso! este #7nov2019  
#Línea1 #L1

Hagamos HT #NomásfallasMetroCDMX
#LadeHoyDelMetro
#MovilidadCDMX https://t.co/DE55MTsa6T https://t.co/L3dv3RPJGO",Línea1 L1 ,Tacubaya Tacubaya Tacubaya 
66,07/Nov/2019,21:35:34,"Damitas usuarias del metro, si exigimos respeto, tengan tantita madre y demuestren que ustedes también pueden darlo! @MetroCDMX #metrocdmx #l3",l3 ,
67,07/Nov/2019,21:35:43,"Vamos a hacer famosos a estos empleados del metro que hacen uso de su prepotencia para entrar a fuerzas a la parte de mujeres

@MetroCDMX @Claudiashein @GobCDMX @FirenzeM
@OphCourse @LBallesterosM @MawSaldivar @almaldo2 @LuRiojas @lydiacachosi @Jacquie_LHoist @kdartigues https://t.co/GRgJ7BJDmx",,
68,07/Nov/2019,21:36:03,"Vamos a hacer famosos a estos empleados del metro que hacen uso de su prepotencia para entrar a fuerzas a la parte de mujeres

@MetroCDMX @Claudiashein @GobCDMX @FirenzeM
@OphCourse @LBallesterosM @MawSaldivar @almaldo2 @LuRiojas @lydiacachosi @Jacquie_LHoist @kdartigues https://t.co/Ew7Gc7gHL4 https://t.co/GRgJ7BJDmx",,
69,07/Nov/2019,21:36:06,"De acuerdo a sus datos: los delitos en el @MetroCDMX han bajado 54.77%, desde que entró la nueva administración https://t.co/7qvpeBDzxH",,
70,07/Nov/2019,21:36:46,"Vamos a hacer famosos a estos empleados del metro que hacen uso de su prepotencia para entrar a fuerzas a la parte de mujeres

@MetroCDMX @Claudiashein @GobCDMX @FirenzeM
@OphCourse @LBallesterosM @MawSaldivar @almaldo2 @LuRiojas @lydiacachosi @Jacquie_LHoist @kdartigues https://t.co/Ew7Gc7gHL4 https://t.co/GRgJ7BJDmx",,
71,07/Nov/2019,21:37:07,"🚇#AvisoMetro🚇

Dice la rima: ""Vaya vaya, #Tacubaya, si no conoce mejor ni vaya""; por enésima vez, las escaleras de esta importante #correspondencia de #MetroCDMX, no están 😡😡en uso! este #7nov2019  
#Línea1 #L1

Hagamos HT #NomásfallasMetroCDMX
#LadeHoyDelMetro
#MovilidadCDMX https://t.co/DE55MTsa6T https://t.co/L3dv3RPJGO",Línea1 L1 ,Tacubaya Tacubaya Tacubaya 
72,07/Nov/2019,21:37:08,"@franciscozea @MetroCDMX @FirenzeM @tenispanam Estan CULEROS como tu , jajajajaja",,
73,07/Nov/2019,21:38:05,"Vamos a hacer famosos a estos empleados del metro que hacen uso de su prepotencia para entrar a fuerzas a la parte de mujeres

@MetroCDMX @Claudiashein @GobCDMX @FirenzeM
@OphCourse @LBallesterosM @MawSaldivar @almaldo2 @LuRiojas @lydiacachosi @Jacquie_LHoist @kdartigues https://t.co/Ew7Gc7gHL4 https://t.co/GRgJ7BJDmx",,
74,07/Nov/2019,21:38:39,"ojo aquí 👇 @PamCerdeira 👀
más abusos en el @MetroCDMX 
esto no se puede quedar así, necesita difundirse, los espacios exclusivos para mujeres son sólo para mujeres 24/7, muchos usuarios y trabajadores violan las leyes y ¿NO PASA NADA? 
es el colmo 😡",,
75,07/Nov/2019,21:38:50,"@MetroCDMX
¿Están haciendo ascenso/descenso en la estación Chabacano L9 en la parte de enmedio los trenes?
Metro M0348 lo abrió puertas dirección Tacubaya.",linea1 L9 ,Tacubaya Tacubaya Chabacano Chabacano Tacubaya 
76,07/Nov/2019,21:38:53,@MetroCDMX Gracias.,,
77,07/Nov/2019,21:41:17,"@MetroCDMX #Linea3 dirección indios verdes.
Tres personas van tomando alcohol y aventando basura a las vías por la ventana. ¿Qué procede? https://t.co/UoC8axvUQq",Linea3 ,indios 
78,07/Nov/2019,21:41:26,Usuarios de la estación San Joaquin del @MetroCDMX  solicitan  a las autoridades del @GobCDMX presencia permanente de elementos de @SSP_CDMX  ya que por las noches se han incrementado los asaltos a usuarios a la salida de dicha estación https://t.co/OnLbShPhnC,linea7 ,Joaquin 
79,07/Nov/2019,21:41:44,Rt porfa @MetroCDMX @MetrobusCDMX @I_mBlanca @OpEsMx @c5_cdmx https://t.co/0WLECdOlNC,,
80,07/Nov/2019,21:41:57,@stellatzrdg @MetroCDMX Saca el cuchillo !,,
81,07/Nov/2019,21:42:05,"Vamos a hacer famosos a estos empleados del metro que hacen uso de su prepotencia para entrar a fuerzas a la parte de mujeres

@MetroCDMX @Claudiashein @GobCDMX @FirenzeM
@OphCourse @LBallesterosM @MawSaldivar @almaldo2 @LuRiojas @lydiacachosi @Jacquie_LHoist @kdartigues https://t.co/Ew7Gc7gHL4 https://t.co/GRgJ7BJDmx",,
82,07/Nov/2019,21:42:19,"Ojo aquí @LaSEMOVI @vigimovicdmx @SeMujeresCDMX @GobCDMX, ¿qué pasó con la nueva campaña para promover los espacios seguros para mujeres en el transporte público? ¿Ya ven que los nuevos anuncios sirven de poco (o de nada) si no hay una infraestructura para reforzarlos? https://t.co/RF4hgCwZuW",,
83,07/Nov/2019,21:42:45,@GobCDMX @MetroCDMX Pues la delincuencia va un paso adelante https://t.co/z6sEg87gnk,,
84,07/Nov/2019,21:42:58,Usuarios de la estación San Joaquin del @MetroCDMX  solicitan  a las autoridades del @GobCDMX presencia permanente de elementos de @SSP_CDMX  ya que por las noches se han incrementado los asaltos a usuarios a la salida de dicha estación https://t.co/OnLbShPhnC,linea7 ,Joaquin 
85,07/Nov/2019,21:43:35,"NO le jueguen al #Tururú...

Un toque en la casa es de 110 voltios.
En el trabajo alcanza los 220.
Con cualquier de los dos, sientes morir.

En el @MetroCDMX, el “llegue” es de 750 voltios. ¡Te mata de una!

Detalles a las 2 en @HMeridiano @AztecaNoticias @AztecaUno https://t.co/EAwoSYM9Ir",2 ,
86,07/Nov/2019,21:44:04,Usuarios de la estación San Joaquin del @MetroCDMX  solicitan  a las autoridades del @GobCDMX presencia permanente de elementos de @SSP_CDMX  ya que por las noches se han incrementado los asaltos a usuarios a la salida de dicha estación https://t.co/OnLbShPhnC,linea7 ,Joaquin 
87,07/Nov/2019,21:45:00,"#Policía 
Así atraparon a varias bandas que se dedicaban al robo de celulares en el @MetroCDMX ⬇️

https://t.co/Vunrph3p9e",,
