,Unnamed: 0,date,hour,tweet,linea,estacion
34,34,14/Nov/2019,19:16:01,"Esto es lo que pasa en el INCADE, los negocios de @FirenzeM y NAHUM LEAL contratan gente externa que no tienen ni idea de lo que es el @metrocdmx ni de como se trabaja, el fin es llenarse los bolsillos a costa de lo que sea. Por eso hay tantas fallas. Chequen esto 👀 @maveruko https://t.co/XzAAJTcS3w",,
35,35,14/Nov/2019,19:16:30,"@LuisgDuart @MetroCDMX Es un todo ellos que agilicen los trenes, y los usuarios no abrir por nuestros huevos las puertas o tirar basura a las vias.",,
36,36,14/Nov/2019,19:17:00,Así todos los días en el @MetroCDMX,,
37,37,14/Nov/2019,19:18:31,@emiliano1205789 @Elfranc72766765 @DenunciasMetro @MetroCDMX @FirenzeM @5antaMerlina @Dalila_Sarabia @FrancoZepeda6 @Claudiashein @arizpe_javier @lopezobrador_ Son los únicos ambulantes que quedan Tacubaya línea 9 ¿Que raro? https://t.co/mT80QvF08j,linea1 9 ,Tacubaya Tacubaya Tacubaya 
38,38,14/Nov/2019,19:18:38,"Mira @Dalila_Sarabia que hacemos con tanto engaño, con tantas intenciones de tomarnos el pelo. @FirenzeM @Claudiashein https://t.co/tAoOGwaSzH",,
39,39,14/Nov/2019,19:18:56,"@LeoFlores0730 @MetroCDMX Así es, desafortunadamente hay gentuza qué así están acostumbrados a vivir en la mierda, y nada tiene que ver la pobreza.",,
40,40,14/Nov/2019,19:19:45,"Solo cambiaron los nombres, de ""pastes kikos"" a ""empanadas mineras"" jajajaja, que mal estas @FirenzeM , @MetroCDMX https://t.co/doWZ8aFAHu",,
41,41,14/Nov/2019,19:20:04,"@ColBellavistaAO @solecito08 @MetroCDMX @UCS_GCDMX @SSP_CDMX @vromog ¡SIEMPRE PERO SIEMPRE!Lo he dicho, desde que estaba @XochitlGalvez  como encargada.

Ahora el actual @AlcaldiaMHmx ¡OBVIO!

Reciben 💰

Alguna vez pregunté a ambulantes que se necesita para poner un puesto en paradero Tacubaya me contesto «DAR DINERO A LA DELEGACIÓN»😩😩😫😖",linea1 ,Tacubaya Tacubaya Tacubaya 
42,42,14/Nov/2019,19:20:17,"🔵 Luego que se aprobara la gratuidad en el @MetroCDMX para integrantes de Comités Ciudadanos a petición de @HectorBarrera_, nuestro diputado pide a @FirenzeM aplicar a la brevedad esta determinación. https://t.co/HdYRuNnvGs",,
43,43,14/Nov/2019,19:21:16,"@RealHades_ @KillerQ16054101 @DenunciasMetro @Elfranc72766765 @MetroCDMX @FirenzeM @Claudiashein @Dalila_Sarabia @Dagda2018 @FrancoZepeda6 @Contralacorru13 @lopezobrador_ @ContraloriaCDMX @MElenaPerezJaen @MuySuFrida @5antaMerlina @Mnoseprivatiza Una de las acciones que está tomando el Metro es quitarles la luz a quienes consuman más luz, y a estos de pastes mineros les permiten todo, ¿de quien serán? Ya se volvió $electiva Florencia, lo rata no se le quita.",,
